Name,Historical Significance,Marital Status,Sex,Birthdate,Deathdate,Date of Appraisal ,Appraiser 1,Appraiser 2,Appraiser 3,Notary,Inventory Purpose,Religion,Nationality,Number of Items,Montias INVNO,Montias INVNO 2,Number of Paintings,Portraits,Rembrandt,Mythology,Still Life,Tapestry,Rariteiten,Textiles,Rubens
Anna van Loosvelt,,M,Female,1606,1660,1639/05/12,Hendrick Uylenburgh,Lucas Luce,,C. Verbeecq,Unknown,Mennonite,Dutch,17,Y,4100,17,Y,Y,,Y,,,,
Cornelis Rutgers,Merchant,M,Male,1596,1631,1638/11/09,,,,Jan Hogenboom,Inventory Drawn at Request,Mennonite,Dutch,30,Y,410,27,Y,Y,,,,,,
Sijmen Martsen,Carpenter,W,Male,,,1633/05/09,,Aeltgen Claes,,Palm Mathijs,Death,Roman Catholic,Dutch,94,Y,144,28,Y,,,Y,,,,
Janneken Roelofs,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Trijntgen Hendricxdr.,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Herman Reijersz.,,M,Male,,,,,,,,,,,,,,,,,,,,,,
Harmen Lenertsen Stopmes,Shop owner,M,Male,,,1632/06/16,,,,Palm Mathijs,Death,Roman Catholic,Dutch,10,Y,143,6,Y,,,,,,,
Bertgen Pieters ,,M,Female,,,,,,,,,,,,,,,,,,,,,,
Pieter Stopmes,,,Male,,,,,,,,,,,,,,,,,,,,,,
Jan Roodenpoort,,,Male,,,,,,,,,,,,,,,,,,,,,,
Dirckien Dirx,,,Female,,,1632/10/14,,,,Palm Mathijs,Death,Roman Catholic,Dutch,42,Y,145,36,Y,,,,,,,
Davidt Gerritssen,Surgeon,M,Male,,,1638/07/07,,,,Palm Mathijs,Death,Roman Catholic,Dutch,77,Y,147,59,,,,,,,,
Marritgen Cornelis ,,M,Female,,,1638/07/07,,,,Palm Mathijs,,,Dutch,,Y,147,59,,,,,,,,
Lysbeth Gerrits,,,Female,,,,,,,,,,,,,,,,,,,,,,
Weyntien Gerrits,,,Female,,,,,,,,,,,,,,,,,,,,,,
Gerrit Gerritsz.,,,Male,,,,,,,,,,,,,,,,,,,,,,
Claes Bas,Merchant,M,Male,1607,1636,1637/07/11,,,,,Death,Reformed/Remonstrant,Dutch,31,Y,150,25,,,,Y,,,Y,
Immetge Vinck,,M,Female,,1637,1637/07/11,,,,,Death,Reformed/Remonstrant,Dutch,31,Y,150,25,,,,Y,,,Y,
Pieter Bas (II),,,Male,,,,,,,,,,,,,,,,,,,,,,
Phillip Vincon,,,Male,,,,,,,,,,,,,,,,,,,,,,
Pieter Jacobsz. Bas,Merchant,,Male,,,,,,,,,,,,,,,,,,,,,,
Hans van Loon,,,Male,,,,,,,,,,,,,,,,,,,,,,
Maria Overlander,,,Female,,,,,,,,,,,,,,,,,,,,,,
Maria Bas,,M,Female,1633,1689,1668/03/23,,,,Jacob Hellerus,Death,,,42,Y,452,36,Y,,,Y,,,,
Jan Deyman (Deijman),Doctor,M,Male,1620,1666,1668/03/23,,,,Jacob Hellerus,Death,,,42,Y,452,36,Y,,,Y,,,,
